"{""richText"":[{""font"":{""bold"":true,""size"":8,""color"":{}},""text"":""Note: ""},{""font"":{""size"":8,""color"":{}},""text"":""The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ""}]}",,,,,,,,,,,,
"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date"
"1","2","2950","42791",,"Approved","Solex","Standard","medium","medium","71.49","53.62","41245"
"2","3","3120","42876","1","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","41701"
"3","37","402","43024",,"Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","36361"
"4","88","3135","42978",,"Approved","Norco Bicycles","Standard","medium","medium","1198.46","381.1","36145"
"5","78","787","43009","1","Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","42226"
"6","25","2339","42802","1","Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","39031"
"7","22","1542","42846","1","Approved","WeareA2B","Standard","medium","medium","60.34","45.26","34165"
"8","15","2459","42931",,"Approved","WeareA2B","Standard","medium","medium","1292.84","13.44","39915"
"9","67","1305","42957",,"Approved","Solex","Standard","medium","large","1071.23","380.74","33455"
"10","12","3262","42977","1","Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","38216"
"11","5","1986","42752",,"Approved","Trek Bicycles","Mountain","low","medium","574.64","459.71","40784"
"12","61","2783","42740","1","Approved","OHM Cycles","Standard","low","medium","71.16","56.93","42172"
"13","35","1243","42792","1","Approved","Trek Bicycles","Standard","low","medium","1057.51","154.4","34527"
"14","16","2717","42988",,"Approved","Norco Bicycles","Standard","high","small","1661.92","1479.11","34586"
"15","12","247","42897",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","38193"
"16","3","2961","43018",,"Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","37873"
"17","79","2426","42828",,"Approved","Norco Bicycles","Standard","medium","medium","1555.58","818.01","38206"
"18","33","1842","42888",,"Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","33888"
"19","54","2268","42831","1","Approved","WeareA2B","Standard","medium","medium","1292.84","13.44","39915"
"20","25","3002","42763","1","Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","37337"
"21","27","1582","43017",,"Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","36334"
"22","37","595","42915","1","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","36361"
"23","37","2001","42833","1","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","42145"
"24","82","515","43026",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","42404"
"25","89","2822","42897",,"Approved","WeareA2B","Touring","medium","large","1362.99","57.74","34079"
"26","64","2596","42745",,"Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","42145"
"27","64","2666","42836","1","Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","41047"
"28","19","76","43092",,"Approved","Trek Bicycles","Mountain","low","medium","574.64","459.71","42560"
"29","72","3368","43021","1","Approved","Norco Bicycles","Standard","medium","medium","360.4","270.3","42710"
"30","91","1173","42809",,"Approved","WeareA2B","Standard","low","medium","642.31","513.85","41922"
"31","88","2810","42983","1","Approved","Norco Bicycles","Standard","medium","medium","1198.46","381.1","37539"
"32","1","3214","42784",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","42688"
"33","25","1272","42814",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","42404"
"34","99","2003","42794","1","Approved","Trek Bicycles","Road","low","small","1720.7","1531.42","38991"
"35","0","2171","42967",,"Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","38647"
"36","92","3356","42923",,"Approved","WeareA2B","Standard","medium","small","1415.01","1259.36","37874"
"37","14","1040","42744",,"Approved","Solex","Standard","high","large","1842.92","1105.75","34996"
"38","2","2916","43075",,"Approved","Solex","Standard","medium","medium","71.49","53.62","33549"
"39","12","427","42990",,"Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","38693"
"40","0","2448","43067","1","Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","38647"
"41","44","2570","42863","1","Approved","WeareA2B","Standard","medium","medium","1769.64","108.76","37668"
"42","79","3398","42869",,"Approved","Solex","Touring","medium","large","2083.94","675.03","41533"
"43","76","488","42811",,"Cancelled","WeareA2B","Standard","low","medium","642.31","513.85","41922"
"44","46","165","43091",,"Approved","Solex","Standard","low","medium","1289.85","74.51","37668"
"45","55","2787","42893","1","Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","42172"
"46","66","3053","42906",,"Approved","Solex","Standard","medium","medium","1163.89","589.27","42560"
"47","35","475","42862","1","Approved","Trek Bicycles","Standard","low","medium","1057.51","154.4","34527"
"48","81","1305","42896","1","Approved","Solex","Standard","medium","medium","1151.96","649.49","41009"
"49","86","1251","42903",,"Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","38206"
"50","32","3103","42865",,"Approved","Giant Bicycles","Standard","medium","medium","642.7","211.37","37337"
"51","77","3108","42818",,"Approved","Norco Bicycles","Road","medium","large","1240.31","795.1","40553"
"52","96","857","43066",,"Approved","Giant Bicycles","Standard","medium","large","1635.3","993.66","39427"
"53","6","3455","43090","1","Approved","OHM Cycles","Standard","high","medium","227.88","136.73","33549"
"54","27","2549","42775","1","Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","34527"
"55","0","3140","42996",,"Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","38482"
"56","47","3406","43053",,"Approved","Trek Bicycles","Road","low","small","1720.7","1531.42","35470"
"57","94","2294","42977","1","Approved","Giant Bicycles","Standard","medium","large","1635.3","993.66","41434"
"58","91","1031","43053",,"Approved","Solex","Standard","medium","medium","100.35","75.26","36367"
"59","93","993","42781","1","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","38750"
"60","60","3473","43087",,"Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","41848"
"61","0","1839","42790",,"Approved","OHM Cycles","Road","high","large","12.01","7.21","34244"
"62","33","1824","43087","1","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","33888"
"63","35","368","43086",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","42688"
"64","0","2000","42924",,"Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","39031"
"65","28","825","42871","1","Approved","Norco Bicycles","Standard","medium","small","1216.14","1082.36","42696"
"66","86","3315","42789","1","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","36367"
"67","2","75","42919","1","Approved","Solex","Standard","medium","medium","71.49","53.62","41245"
"68","4","1498","43008","1","Approved","Giant Bicycles","Standard","high","medium","1129.13","677.48","38258"
"69","38","1612","43029","1","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","41167"
"70","27","2192","42861","1","Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","36334"
"71","54","419","42738",,"Approved","WeareA2B","Standard","medium","medium","1292.84","13.44","39915"
"72","77","3307","42864","1","Approved","WeareA2B","Standard","medium","medium","1769.64","108.76","40672"
"73","22","2430","42939",,"Approved","WeareA2B","Standard","medium","medium","60.34","45.26","34165"
"74","56","1506","42756","1","Approved","OHM Cycles","Standard","medium","medium","183.86","137.9","35707"
"75","58","1346","42906",,"Approved","OHM Cycles","Standard","medium","medium","912.52","141.4","42295"
"76","22","927","42804",,"Approved","WeareA2B","Standard","medium","medium","60.34","45.26","33552"
"77","50","763","42888",,"Approved","WeareA2B","Standard","medium","small","175.89","131.92","37668"
"78","80","2397","43046",,"Approved","OHM Cycles","Touring","low","medium","1073.07","933.84","36145"
"79","87","102","42990","1","Approved","Giant Bicycles","Standard","high","medium","1179","707.4","35667"
"80","15","2884","43085",,"Approved","Norco Bicycles","Standard","low","medium","958.74","748.9","38693"
"81","84","759","43015","1","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","33879"
"82","21","773","42852","1","Approved","Solex","Standard","medium","large","1071.23","380.74","40670"
"83","0","3398","42826","1","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","37626"
"84","33","3297","43041","1","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","33888"
"85","84","2434","42779","1","Approved","Trek Bicycles","Road","medium","medium","290.62","215.14","38339"
"86","1","1861","42935",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","38258"
